"","Country","Location","Population","Lat","Lon","PopClass"
"1","US","Unalaska, Alaska",4251,53.8733,-166.533,1
"2","US","Russian Mission, Alaska",295,61.7856,-161.325,1
"3","US","Ouzinkie, Alaska",246,57.9236,-152.496,1
"4","US","Chefornak, Alaska",405,60.1607,-164.271,1
"5","US","Grayling, Alaska",186,62.9062,-160.077,1
"6","US","Mountain Village, Alaska",738,62.0884,-163.72,1
"7","US","Manokotak, Alaska",387,58.9796,-159.053,1
"8","US","Port Heiden, Alaska",116,56.9566,-158.645,1
"9","US","Savoonga, Alaska",622,63.6904,-170.481,1
"10","US","Shaktoolik, Alaska",226,64.35,-161.183,1
"11","US","Diomede, Alaska",174,65.7648,-168.911,1
"12","US","False Pass, Alaska",64,54.8548,-163.407,1
"13","US","King Cove, Alaska",691,55.0629,-162.31,1
"14","US","Akutan, Alaska",420,54.1385,-165.778,1
"15","US","Saint George, Alaska",153,56.603,-169.545,1
"16","US","Saint Paul, Alaska",764,57.1221,-170.276,1
"17","US","Atka, Alaska",111,52.191,-174.189,1
"18","US","Chuathbaluk, Alaska",115,61.5726,-159.235,1
"19","US","Coffman Cove, Alaska",246,55.9476,-132.734,1
"20","US","Thorne Bay, Alaska",625,55.7274,-132.471,1
"21","US","Anchorage, Alaska",254849,61.1817,-149.993,5
"22","US","Kachemak, Alaska",398,59.6488,-151.451,1
"23","US","Cape Yakataga, Alaska",0,60.0652,-142.428,1
"24","US","Ivanof Bay, Alaska",27,55.8996,-159.507,1
"25","US","Perryville, Alaska",107,55.9119,-159.166,1
"26","US","Northway Junction, Alaska",114,63.0173,-141.792,1
"27","US","Tetlin, Alaska",68,63.3105,-142.592,1
"28","US","Georgetown, Alaska",0,61.9085,-157.787,1
"29","US","Attu, Alaska",26,52.9365,173.24,1
"30","US","Tuntutuliak, Alaska",351,60.3397,-162.669,1
"31","US","Chignik Lagoon, Alaska",74,56.3536,-158.522,1
"32","US","Chignik Lake, Alaska",127,56.2635,-158.747,1
"33","US","Belkofski, Alaska",0,55.0905,-162.034,1
"34","US","Hollis, Alaska",175,55.4879,-132.663,1
"35","US","Boundary, Alaska",0,64.0649,-141.091,1
"36","US","Sanak, Alaska",0,54.4831,-162.814,1
"37","US","Pauloff Harbor, Alaska",0,54.4589,-162.7,1
"38","US","Birch Creek, Alaska",37,66.2687,-145.824,1
"39","US","McKinley Park, Alaska",196,63.7185,-148.913,1
"40","US","Paimiut, Alaska",0,61.6971,-165.83,1
"41","US","Kokhanok, Alaska",168,59.4426,-154.761,1
"42","US","Pedro Bay, Alaska",37,59.7914,-154.098,1
"43","US","Kaguyak, Alaska",0,56.8594,-153.767,1
"44","US","Ayakulik, Alaska",0,57.2113,-154.546,1
"45","US","Womens Bay, Alaska",662,57.7099,-152.586,1
"46","US","Uganik, Alaska",0,57.6835,-153.419,1
"47","US","Kongiganak, Alaska",349,59.9647,-162.877,1
"48","US","Minto, Alaska",244,65.1562,-149.328,1
"49","US","Healy Lake, Alaska",60,63.9441,-144.755,1
"50","US","Dot Lake, Alaska",80,63.663,-144.049,1
"51","US","Slana, Alaska",58,62.708,-143.961,1
"52","US","Mentasta Lake, Alaska",122,62.9212,-143.792,1
"53","US","Portage Creek, Alaska",14,58.9006,-157.714,1
"54","US","Ekuk, Alaska",2,58.804,-158.541,1
"55","US","Port Protection, Alaska",58,56.3127,-133.602,1
"56","US","Cape Lisburne, Alaska",0,68.8678,-166.193,1
"57","US","Nikolaevsk, Alaska",474,59.8109,-151.623,1
"58","US","Nanwalek, Alaska",177,59.354,-151.916,1
"59","US","Portlock, Alaska",0,59.2093,-151.74,1
"60","US","Petersville, Alaska",0,62.4951,-150.771,1
"61","US","Skwentna, Alaska",77,61.9649,-151.158,1
"62","US","Fort Glenn, Alaska",0,53.3956,-167.881,1
"63","US","Kenny Lake, Alaska",500,61.7379,-144.945,1
"64","US","Shemya Station, Alaska",0,52.7246,174.112,1
"65","US","Deadhorse, Alaska",24,70.2097,-148.418,1
"66","US","Paxson, Alaska",34,63.0373,-145.484,1
"67","US","Chiniak, Alaska",74,57.6188,-152.166,1
"68","US","Salamatof, Alaska",1134,60.5878,-151.326,1
"69","US","Nikiski, Alaska",3023,60.6394,-151.334,1
"70","US","Uyak, Alaska",0,57.6256,-153.988,1
"71","US","Big Lake, Alaska",2243,61.5378,-149.824,1
"72","US","Prudhoe Bay, Alaska",47,70.2366,-148.38,1
"73","US","Bill Moores, Alaska",0,62.9802,-164.157,1
"74","US","Oscarville, Alaska",59,60.7273,-161.79,1
"75","US","Atmautluak, Alaska",247,60.8607,-162.476,1
"76","US","Tazlina, Alaska",297,62.0305,-145.416,1
"77","US","Chenega Bay, Alaska",91,60.0746,-148.003,1
"78","US","Nelson Lagoon, Alaska",90,56.0012,-161.201,1
"79","US","Port Moller, Alaska",0,55.99,-160.577,1
"80","US","Eyak, Alaska",166,60.5652,-145.7,1
"81","US","Alatna, Alaska",31,66.5968,-152.76,1
"82","US","King Island, Alaska",0,64.9694,-168.065,1
"83","US","Poorman, Alaska",0,64.0991,-155.544,1
"84","US","Iditarod, Alaska",0,62.5448,-158.094,1
"85","US","Karluk, Alaska",48,57.5719,-154.455,1
"86","US","Lower Kalskag, Alaska",278,61.5122,-160.358,1
"87","US","Upper Kalskag, Alaska",198,61.5372,-160.305,1
"88","US","Chalkyitsik, Alaska",87,66.6544,-143.722,1
"89","US","Cantwell, Alaska",144,63.3917,-148.951,1
"90","US","Seward, Alaska",2999,60.1043,-149.442,1
"91","US","Moose Pass, Alaska",116,60.4876,-149.367,1
"92","US","Cooper Landing, Alaska",271,60.4906,-149.833,1
"93","US","Palmer, Alaska",3946,61.5997,-149.113,1
"94","US","Wasilla, Alaska",4917,61.5814,-149.439,1
"95","US","Houston, Alaska",994,61.6302,-149.818,1
"96","US","Knik, Alaska",443,61.4578,-149.729,1
"97","US","Sutton, Alaska",431,61.7114,-148.894,1
"98","US","Chickaloon, Alaska",205,61.7967,-148.463,1
"99","US","Susitna, Alaska",0,61.5436,-150.512,1
"100","US","Willow, Alaska",408,61.7472,-150.037,1
"101","US","Eklutna, Alaska",425,61.458,-149.362,1
"102","US","Glennallen, Alaska",513,62.1092,-145.546,1
"103","US","Copper Center, Alaska",536,61.955,-145.305,1
"104","US","Tonsina, Alaska",46,61.6558,-145.175,1
"105","US","Chitina, Alaska",84,61.5158,-144.437,1
"106","US","Lower Tonsina, Alaska",0,61.655,-144.659,1
"107","US","Gulkana, Alaska",95,62.2714,-145.382,1
"108","US","Gakona, Alaska",23,62.3019,-145.302,1
"109","US","Chistochina, Alaska",55,62.565,-144.665,1
"110","US","Nabesna, Alaska",0,62.3719,-143.009,1
